OsteoSort, S1994 , UTK1994 , UTK2016 , BA2003 
Cla_01,35,35,38,
Cla_02,,,39,
Cla_03,,,40,
Cla_04,36,36,,
Cla_05,37,37,,
Cla_06,,,,37A
Cla_07,,,,37B
Cla_08,,,,37C
Cla_09,,,,37D
Sca_01,38,38,41,
Sca_02,39,39,42,
Sca_03,,,43,39B
Sca_04,,,44,39A
Sca_05,,,,39D
Hum_01,40,40,45,
Hum_02,41,41,46,
Hum_03,42,42,47,
Hum_04,43,43,48,
Hum_05,44,44,49,
Hum_06,,,,41A
Hum_07,,,,42A
Hum_08,,,,44B
Hum_09,,,,44D
Rad_01,45,45,50,
Rad_02,,,51,
Rad_03,,,52,
Rad_04,,,53,47D
Rad_05,46,46,,
Rad_06,47,47,,
Rad_07,,,,47A
Rad_08,,,,47B
Rad_09,,,,47C
Rad_10,,,,47E
Uln_01,48,48,54,
Uln_02,,,55,
Uln_03,,,56,
Uln_04,49,49,,
Uln_05,50,50,,
Uln_06,51,51,,
Uln_07,52,52,58,
Uln_08,,,59,
Uln_09,,,,51A
Uln_10,,,,51B
Uln_11,,,,51C
Uln_12,,,57,
Sac_01,53,53,60,
Sac_02,54,54,61,
Sac_03,55,55,62,
Sac_04,,,63,
Sac_05,,,,55J
Osc_01,56,56,64,
Osc_02,57,57,65,
Osc_03,58,58,,
Osc_04,59,59,,
Osc_05,,,66,59D
Osc_06,,,67,
Osc_07,,,68,
Osc_08,,,69,
Osc_09,,,70,
Osc_10,,,71,
Osc_11,,,72,
Osc_12,,,73,
Osc_13,,,74,
Osc_14,,,,59A
Osc_15,,,,59B
Osc_16,,,,59C
Osc_17,,,,59E
Fem_01,60,60,75,
Fem_02,61,61,76,
Fem_03,62,62,77,
Fem_04,63,63,78,
Fem_05,65,65,79,
Fem_06,64,64,80,
Fem_07,66,66,,
Fem_08,67,67,,
Fem_09,,,81,
Fem_10,,,82,
Fem_11,68,68,83,
Fem_12,,,84,
Fem_13,,,85,
Fem_14,,,,68A
Fem_15,,,,68B
Fem_16,,,,68D
Fem_17,,,,68E
Tib_01,69,69,86,
Tib_02,70,70,87,
Tib_03,71,71,88,
Tib_04,72,72,,
Tib_05,73,73,,
Tib_06,74,74,,
Tib_07,,,89,
Tib_08,,,90,
Tib_09,,,91,
Tib_10,,,,74A
Tib_11,,,,74B
Tib_12,,,,74F
Fib_01,75,75,92,
Fib_02,76,76,93,
Fib_03,,,,76A
Fib_04,,,,76B
Fib_05,,,,76C
Cal_01,77,77,94,
Cal_02,78,78,95,
Cal_03,,,,78A
Cal_04,,,,78B
Pat_01,,,,74.5A
Pat_02,,,,74.5B
Pat_03,,,,74.5C
Tal_01,,,,79
Tal_02,,,,79A
Tal_03,,,,79B
Nav_01,,,,80G
Cf1_01,,,,80H
Cf2_01,,,,80I
Cf3_01,,,,80J
Cub_01,,,,80F
MT1_01,,,,80A
MT2_01,,,,80B
MT3_01,,,,80C
MT4_01,,,,80D
MT5_01,,,,80E
Pis_01,,,,52.5I
Scp_01,,,,52.5F
Tzm_01,,,,52.5J
Tzd_01,,,,52.5K
Tri_01,,,,52.5H
Lun_01,,,,52.5G
Cap_01,,,,52.5L
Ham_01,,,,52.5M
MC1_01,,,,52.5A
MC2_01,,,,52.5B
MC3_01,,,,52.5C
MC4_01,,,,52.5D
MC5_01,,,,52.5E
